Index,City,Latitude,Longitude,Temperature(F),Humidity,Wind Speed (MPH),Cloudiness
0,Thompson,55.74,-97.86,46.4,31,6.93,75
1,Torbay,47.66,-52.73,34,95,6.93,90
2,Sakaiminato,35.55,133.23,69.8,37,6.93,40
3,Chuy,-33.69,-53.46,65.21,76,13.96,43
4,Ushuaia,-54.81,-68.31,46.4,88,9.17,0
5,Mataura,-46.19,168.86,64,76,2.44,85
6,Butaritari,3.07,172.79,84.29,80,12.39,13
7,Cabo San Lucas,22.89,-109.91,81,60,16.11,20
8,Vila Franca do Campo,37.72,-25.43,62.6,100,14.99,75
9,Pocone,-16.26,-56.62,79.25,72,1.81,34
10,Richards Bay,-28.77,32.06,75.11,77,23.69,35
11,Aykhal,65.95,111.51,26.6,49,6.71,0
12,East London,-33.02,27.91,56.39,74,10.07,55
13,Bredasdorp,-34.53,20.04,53.6,87,3.36,2
14,Anamur,36.08,32.84,54,93,4.7,0
15,Tuktoyaktuk,69.44,-133.03,24.8,85,16.11,90
16,Avarua,-21.21,-159.78,80.6,74,2.24,100
17,Atuona,-9.8,-139.03,83.39,77,13.09,0
18,Sao Filipe,14.9,-24.5,73.85,80,20.87,54
19,Busselton,-33.64,115.35,46,68,12.88,0
20,Ribeira Grande,38.52,-28.7,63.95,90,23.42,82
21,Lagoa,37.14,-8.45,62.6,93,12.75,75
22,Bluff,-23.58,149.07,73.49,54,8.25,0
23,Rikitea,-23.12,-134.97,77.99,84,13.22,2
24,Okhotsk,59.36,143.24,41.27,93,2.08,100
25,Hithadhoo,-0.6,73.08,84.29,67,3.36,57
26,Carnarvon,-30.97,22.13,50.09,71,6.73,1
27,Albany,42.65,-73.75,57.99,35,10.29,40
28,Kodiak,39.95,-94.76,69.01,77,13.87,90
29,Leiyang,26.42,112.85,62.87,73,1.97,11
30,Saint-Georges,46.12,-70.67,46,50,1.01,12
31,Kahului,20.89,-156.47,84.2,54,11.41,40
32,Nikolskoye,59.7,30.79,37.99,74,3.87,0
33,Yellowknife,62.45,-114.38,57,23,11.41,20
34,Limon,39.26,-103.69,41,86,25.28,90
35,Jamestown,-33.21,138.6,53.87,84,18.79,61
36,Tecoanapa,16.99,-99.26,80.6,83,11.41,20
37,Puerto del Rosario,28.5,-13.86,66.2,82,17.22,0
38,Meulaboh,4.14,96.13,80.69,71,7.11,100
39,Brenham,30.17,-96.4,80.6,100,9.04,90
40,Souillac,45.6,-0.6,57.2,71,31.09,39
41,Broome,52.47,1.45,50,93,9.17,100
42,Bethel,60.79,-161.76,46.4,70,21.92,75
43,Kapaa,22.08,-159.32,80.6,65,8.05,75
